"participant","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"iucoglearn_mn086",1,3,1,1,1,1,1,"4-knower"
"iucoglearn_mn086",2,3,1,1,1,1,1,"4-knower"
"iucoglearn_mn086",3,3,1,1,1,1,1,"4-knower"
"iucoglearn_mn086",4,3,0.666666666666667,1,1,1,1,"4-knower"
"iucoglearn_mn086",5,3,0.666666666666667,1,0,1,0,"4-knower"
"iucoglearn_mn086",6,3,0.333333333333333,0,1,0,0,"4-knower"
"iucoglearn_mn086",8,3,0.333333333333333,0,1,0,0,"4-knower"
"iucoglearn_mn086",10,3,0,0,1,0,0,"4-knower"
