"participant","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"iucoglearn_mn089",1,3,0.666666666666667,1,1,1,1,"5-knower"
"iucoglearn_mn089",2,3,1,1,1,1,1,"5-knower"
"iucoglearn_mn089",3,3,1,1,1,1,1,"5-knower"
"iucoglearn_mn089",4,3,1,1,1,1,1,"5-knower"
"iucoglearn_mn089",5,3,1,1,1,1,1,"5-knower"
"iucoglearn_mn089",6,3,0.333333333333333,0,1,0,1,"5-knower"
"iucoglearn_mn089",8,3,0.333333333333333,0,1,0,1,"5-knower"
"iucoglearn_mn089",10,3,0.333333333333333,0,1,0,1,"5-knower"
