"participant","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"iucoglearn_mn085",1,3,0.666666666666667,1,0,1,0,"pre-knower"
"iucoglearn_mn085",2,3,1,1,1,1,0,"pre-knower"
"iucoglearn_mn085",3,3,1,1,1,1,0,"pre-knower"
"iucoglearn_mn085",4,3,0.666666666666667,1,1,1,0,"pre-knower"
"iucoglearn_mn085",5,3,0,0,1,0,0,"pre-knower"
"iucoglearn_mn085",6,3,0.333333333333333,0,1,0,0,"pre-knower"
"iucoglearn_mn085",8,3,0,0,1,0,0,"pre-knower"
"iucoglearn_mn085",10,3,0,0,1,0,0,"pre-knower"
