"participant","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"iucoglearn_mn096",1,3,0.666666666666667,1,1,1,1,"2-knower"
"iucoglearn_mn096",2,3,1,1,1,1,1,"2-knower"
"iucoglearn_mn096",3,3,0.333333333333333,0,0,0,0,"2-knower"
"iucoglearn_mn096",4,3,0,0,1,0,0,"2-knower"
"iucoglearn_mn096",5,3,0,0,1,0,0,"2-knower"
"iucoglearn_mn096",6,3,0,0,0,0,0,"2-knower"
"iucoglearn_mn096",8,3,0,0,1,0,0,"2-knower"
"iucoglearn_mn096",10,3,0,0,1,0,0,"2-knower"
