"participant","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"iucoglearn_mn094",1,3,0.666666666666667,1,1,1,1,"2-knower"
"iucoglearn_mn094",2,3,0.666666666666667,1,1,1,1,"2-knower"
"iucoglearn_mn094",3,3,0.333333333333333,0,1,0,1,"2-knower"
"iucoglearn_mn094",4,3,0.333333333333333,0,1,0,1,"2-knower"
"iucoglearn_mn094",5,3,0,0,1,0,1,"2-knower"
"iucoglearn_mn094",6,3,0.333333333333333,0,1,0,1,"2-knower"
"iucoglearn_mn094",8,3,0,0,1,0,1,"2-knower"
"iucoglearn_mn094",10,3,0,0,1,0,1,"2-knower"
