"participant","Query","NumTrials","accuracy","AccPass","SpecificityPass","AccCumul","SpecificityCumul","KnowerLevel"
"iucoglearn_mn091",1,3,0.666666666666667,1,1,1,1,"10-knower"
"iucoglearn_mn091",2,3,1,1,1,1,1,"10-knower"
"iucoglearn_mn091",3,3,1,1,1,1,1,"10-knower"
"iucoglearn_mn091",4,3,1,1,1,1,1,"10-knower"
"iucoglearn_mn091",5,3,0.666666666666667,1,1,1,1,"10-knower"
"iucoglearn_mn091",6,3,1,1,1,1,1,"10-knower"
"iucoglearn_mn091",8,3,1,1,1,1,1,"10-knower"
"iucoglearn_mn091",10,3,1,1,1,1,1,"10-knower"
